symbol,stock,percentage,ownership_count,hold_price,max_percentage,current_price,_52_week_low,percentage_above_52_week_low,_52_week_high
MSFT,Microsoft Corp.,2.600,31,$288.12,31.05,$335.04,$211.37,58.51,$351.47
BRK.A,Berkshire Hathaway CL A,2.056,13,$465469.51,51.97,$508940.00,$393012.25,29.50,$522000.00
GOOG,Alphabet Inc. CL C,2.050,27,$104.00,15.67,$122.99,$83.45,47.38,$129.55
META,Meta Platforms Inc.,1.885,24,$211.95,22.98,$288.67,$88.09,227.70,$289.66
AMZN,Amazon.com Inc.,1.772,23,$103.30,22.86,$129.31,$81.43,58.80,$146.57
GOOGL,Alphabet Inc.,1.732,30,$103.61,17.85,$122.37,$83.34,46.83,$129.04
MU,Micron Technology Inc.,1.694,11,$60.34,79.22,$65.26,$48.04,35.85,$74.77
V,Visa Inc.,1.612,25,$225.45,14.89,$229.56,$173.13,32.59,$249.60
BRK.B,Berkshire Hathaway CL B,1.456,21,$298.54,22.45,$335.26,$259.85,29.02,$341.68
BAC,Bank of America Corp.,1.364,16,$28.60,40.86,$27.75,$26.11,6.28,$37.83
MA,Mastercard Inc.,1.172,18,$363.26,20.49,$379.82,$275.99,37.62,$392.20
JOE,St. Joe Co.,1.079,1,,83.08,$44.51,$30.88,44.14,$47.80
CRM,Salesforce.com,1.040,13,$199.78,23.05,$210.09,$126.34,66.29,$225.00
AAPL,Apple Inc.,1.031,15,$164.72,46.44,$186.70,$123.64,51.00,$187.05
WFC,Wells Fargo,1.015,17,$37.51,36.96,$40.61,$34.98,16.09,$48.46
TDG,TransDigm Group Inc.,0.964,6,$737.04,27.92,$849.60,$499.63,70.05,$858.67
IEP,Icahn Enterprises,0.915,1,,70.43,$27.38,$18.03,51.86,$47.00
HGV,Hilton Grand Vacations Inc.,0.813,1,,62.61,$44.48,$32.12,38.48,$51.81
MCO,Moody's Corp.,0.791,15,$305.88,15.38,$337.35,$227.82,48.08,$351.06
CPNG,Coupang Inc.,0.753,6,$16.00,30.55,$16.60,$12.24,35.62,$21.38
DIS,Walt Disney Co.,0.676,14,$100.13,15.79,$88.08,$84.07,4.77,$126.48
FI,Fiserv Inc.,0.627,11,$113.03,21.44,$120.46,$87.80,37.20,$122.39
UNH,United Health Group Inc.,0.619,17,$466.23,6.18,$476.91,$443.86,7.45,$552.14
KKR,KKR & Co. L.P.,0.585,11,$52.52,17.56,$53.59,$41.28,29.82,$60.17
BN,Brookfield Corp.,0.583,7,$32.60,20.76,$31.35,$28.25,10.97,$53.76
LAD,Lithia Motors Inc.,0.578,7,$228.93,17.02,$283.35,$178.58,58.67,$298.12
CNI,Canadian Natl Railway Co.,0.567,5,$117.97,17.74,$117.75,$102.32,15.08,$128.19
CHTR,Charter Communications,0.559,9,$357.61,19.92,$326.26,$297.66,9.61,$496.37
COF,Capital One Financial,0.544,13,$96.16,7.00,$106.61,$83.35,27.91,$122.20
INTU,Intuit Inc.,0.544,9,$445.32,12.24,$452.54,$351.29,28.82,$488.05
SPGI,S&P Global Inc.,0.537,8,$344.77,18.18,$390.35,$277.89,40.47,$402.92
CP,Canadian Pacific Kansas City,0.531,5,$76.95,14.72,$80.06,$64.92,23.32,$83.45
BABA,Alibaba Group Holdings,0.519,10,$101.28,19.04,$84.90,$58.01,46.35,$125.84
FICO,Fair Isaac Corp.,0.517,4,$702.69,25.09,$776.29,$389.84,99.13,$815.64
ALLY,Ally Financial Inc.,0.516,5,$25.49,27.86,$26.38,$21.34,23.62,$36.69
IAC,IAC Inc.,0.492,4,$51.60,29.03,$61.26,$41.52,47.54,$85.04
GE,General Electric,0.481,8,$95.60,10.27,$103.80,$47.02,120.76,$108.90
JPM,JPMorgan Chase & Co.,0.478,12,$130.38,9.58,$138.87,$99.75,39.22,$144.02
BKNG,Booking Holdings Inc.,0.461,9,$2652.40,13.94,$2623.49,$1616.85,62.26,$2786.85
WIX,Wix.com Ltd.,0.452,2,$99.80,17.49,$77.56,$56.17,38.08,$101.55
CACC,Credit Acceptance Corp.,0.440,5,$436.04,28.09,$501.52,$358.00,40.09,$617.44
STLA,Stellantis N.V.,0.435,3,$18.19,32.75,$16.47,$10.42,58.06,$17.40
AXP,American Express,0.418,12,$164.45,17.82,$168.10,$129.72,29.59,$181.48
GRBK,Green Brick Partners,0.411,2,$35.06,31.64,$54.56,$18.73,191.30,$57.18
C,Citigroup Inc.,0.406,8,$46.89,8.22,$46.01,$38.74,18.77,$52.83
GS,Goldman Sachs Group,0.389,9,$327.11,11.29,$314.68,$269.96,16.57,$381.38
ORCL,Oracle Corp.,0.378,11,$90.75,7.33,$118.58,$59.99,97.67,$127.54
PEP,PepsiCo Inc.,0.372,10,$177.16,11.48,$186.06,$156.71,18.73,$194.16
ELV,Elevance Health Inc.,0.372,5,$459.81,15.43,$450.35,$428.87,5.01,$544.68
IBKR,Interactive Brokers Group Inc.,0.368,3,$82.56,19.54,$80.00,$52.08,53.61,$89.96
TSM,Taiwan Semiconductor S.A.,0.356,11,$93.02,7.05,$101.92,$58.54,74.10,$110.23
FERG,Ferguson plc,0.355,6,$133.75,20.91,$150.58,$95.88,57.05,$153.73
CBRE,CBRE Group,0.347,8,$72.81,10.95,$75.22,$66.31,13.44,$89.58
EQH,Equitable Holdings Inc.,0.342,4,$25.39,23.16,$25.42,$21.70,17.14,$32.74
LOW,Lowe's Cos.,0.335,4,$199.06,19.64,$215.23,$167.15,28.76,$222.20
HLT,Hilton Worldwide Holdings,0.327,3,$140.87,12.82,$137.09,$107.94,27.01,$152.57
ADI,Analog Devices,0.321,7,$197.22,5.57,$185.95,$131.01,41.94,$196.36
WBD,Warner Bros. Discovery Inc.,0.312,7,$15.10,6.81,$11.77,$8.82,33.45,$17.65
TMO,Thermo Fisher Scientific,0.310,9,$576.37,5.39,$524.15,$474.90,10.37,$609.61
MDLZ,Mondelez International,0.310,5,$69.70,23.74,$73.07,$54.11,35.04,$78.59
SE,Sea Ltd,0.308,3,$86.55,21.02,$58.94,$40.67,44.92,$93.70
SCHW,Charles Schwab Corp.,0.302,12,$52.38,4.68,$53.17,$44.76,18.79,$85.91
TRMD,Torm Plc,0.295,1,,22.70,$23.61,$8.90,165.28,$34.18
JHG,Janus Henderson Group,0.294,1,,22.63,$26.42,$18.21,45.09,$30.42
ADBE,Adobe Inc.,0.292,11,$385.34,4.93,$484.68,$274.73,76.42,$518.74
ACN,Accenture,0.292,8,$285.03,8.14,$298.43,$241.01,23.82,$327.93
PYPL,PayPal Holdings Inc.,0.288,7,$75.94,7.13,$66.91,$58.95,13.50,$103.03
FDX,FedEx Corp.,0.286,10,$228.49,6.34,$232.33,$139.40,66.66,$243.02
OXY,Occidental Petroleum,0.284,3,$62.42,13.46,$56.07,$55.34,1.32,$76.37
GM,General Motors,0.281,8,$36.68,11.53,$36.18,$30.04,20.44,$43.41
NEWR,New Relic Inc.,0.279,2,$75.29,21.43,$65.64,$47.85,37.18,$86.00
ICE,Intercontinental Exchange Inc.,0.277,5,$104.29,6.63,$111.12,$87.56,26.91,$113.15
JD,JD.com Inc.,0.276,3,$43.89,10.26,$34.85,$31.57,10.39,$66.28
JNJ,Johnson & Johnson,0.274,15,$154.81,3.72,$165.52,$148.99,11.09,$178.40
DHR,Danaher Corp.,0.274,8,$252.04,11.34,$238.23,$221.22,7.69,$302.91
LEN,Lennar Corp.,0.274,4,$105.11,14.85,$122.30,$66.65,83.50,$123.06
SMAR,Smartsheet Inc.,0.256,1,,19.71,$38.28,$25.09,52.57,$52.81
BK,Bank of New York Mellon Corp.,0.254,10,$45.62,3.91,$42.84,$35.31,21.33,$51.80
KMX,CarMax Inc.,0.251,7,$64.28,5.53,$86.28,$52.10,65.60,$106.24
WGO,Winnebago Industries Inc.,0.249,2,$57.70,18.01,$60.83,$46.96,29.54,$69.91
AMAT,Applied Materials,0.248,7,$126.50,5.80,$136.06,$70.42,93.21,$142.53
CMCSA,Comcast Corp.,0.242,11,$37.91,4.72,$40.08,$27.96,43.35,$42.67
BB,BlackBerry Ltd.,0.235,3,$4.56,15.16,$4.80,$3.17,51.42,$7.20
ET,Energy Transfer LP,0.234,4,$12.47,7.03,$12.51,$8.36,49.64,$13.03
WM,Waste Management Inc.,0.233,2,$162.97,15.77,$165.56,$145.11,14.09,$173.08
FCNCA,First Citizens Bancshares,0.231,4,$973.10,6.83,$1208.28,$505.84,138.87,$1345.44
APO,Apollo Global Management,0.231,3,$63.16,15.45,$73.01,$44.78,63.04,$77.59
NCR,NCR Corp.,0.229,1,,17.64,$24.37,$18.06,34.94,$35.42
EMN,Eastman Chemical,0.228,3,$84.34,16.51,$78.51,$67.94,15.56,$98.40
LBTYK,Liberty Global Inc. C,0.225,2,$20.38,17.31,$17.39,$16.16,7.61,$23.91
PCG,PG&E Corp.,0.224,3,$16.17,15.68,$16.88,$9.66,74.74,$17.68
CMG,Chipotle Mexican Grill Inc.,0.224,1,,17.21,$2044.25,$1233.61,65.71,$2139.88
CL,Colgate-Palmolive,0.222,6,$75.16,13.59,$77.14,$66.55,15.91,$82.22
GIL,Gildan Activewear Inc.,0.222,4,$33.19,12.96,$30.31,$25.07,20.90,$34.11
WTW,Willis Towers Watson plc,0.218,6,$232.38,5.93,$232.43,$186.92,24.35,$257.99
AMT,American Tower Corp.,0.216,5,$204.34,12.60,$186.06,$175.42,6.07,$276.09
NYCB,New York Community Bancorp,0.216,3,$9.04,8.31,$10.48,$5.71,83.54,$11.21
UBER,Uber Technologies Inc.,0.214,5,$31.70,10.28,$43.35,$19.90,117.84,$43.87
CVNA,Carvana Co.,0.212,3,$9.79,13.71,$21.40,$3.55,502.82,$58.05
STX,Seagate Technology,0.212,3,$66.12,14.47,$60.32,$46.29,30.31,$80.78
IVZ,Invesco Ltd,0.212,3,$16.40,14.84,$16.02,$12.61,27.04,$20.11
NFLX,Netflix Inc.,0.210,5,$345.48,6.34,$423.92,$169.70,149.81,$448.65
WDAY,Workday Inc.,0.209,4,$206.54,8.16,$222.30,$128.72,72.70,$226.06
QSR,Restaurant Brands International,0.209,2,$67.14,15.90,$75.34,$47.10,59.96,$77.00
PM,Philip Morris Intl.,0.207,5,$97.21,6.91,$96.32,$79.66,20.91,$102.84
PFE,Pfizer Inc.,0.205,5,$40.70,6.05,$38.31,$36.17,5.92,$53.85
ABG,Asbury Automotive Group Inc.,0.205,2,$210.00,14.00,$228.37,$138.88,64.44,$253.67
KW,Kennedy-Wilson Holdings Inc.,0.204,1,,15.72,$15.50,$13.55,14.39,$20.01
MRK,Merck & Co.,0.200,6,$106.39,10.29,$114.58,$82.70,38.55,$118.86
USB,U.S. Bancorp,0.199,8,$42.49,3.70,$31.87,$27.27,16.87,$49.29
FLS,Flowserve Corp.,0.199,2,$34.00,14.32,$35.71,$23.45,52.28,$38.65
RACE,Ferrari NV,0.196,3,$270.38,11.18,$307.68,$175.55,75.27,$309.29
PVH,PVH Corp.,0.195,5,$89.16,6.44,$80.85,$43.42,86.20,$94.42
BBWI,Bath & Body Works Inc.,0.194,3,$36.58,8.23,$37.22,$25.20,47.70,$49.04
TXN,Texas Instruments,0.189,8,$185.63,3.42,$167.68,$139.22,20.44,$183.47
BMY,Bristol-Myers Squibb,0.188,6,$69.31,8.98,$65.03,$63.07,3.11,$80.14
UPBD,Upbound Group Inc.,0.186,2,$24.51,13.46,$30.42,$16.57,83.58,$34.29
LBRDK,Liberty Broadband Corp. CL C,0.182,7,$81.70,5.00,$70.70,$68.67,2.96,$124.81
CEG,Constellation Energy Corp.,0.180,4,$78.50,8.87,$90.34,$51.91,74.03,$96.85
NSRGY,Nestle,0.180,2,$121.64,10.34,$121.18,$102.78,17.90,$131.64
DHI,D.R. Horton,0.178,4,$97.69,5.54,$120.39,$63.70,89.00,$120.96
EPD,Enterprise Products Partners LP,0.177,5,$25.90,8.96,$25.78,$21.28,21.15,$26.68
TKR,Timken Co.,0.176,2,$81.72,13.36,$84.91,$49.99,69.85,$89.00
SHAK,Shake Shack Inc.,0.176,2,$55.49,13.57,$73.93,$37.79,95.63,$76.14
HUN,Huntsman Corp.,0.174,2,$27.36,13.40,$25.39,$22.94,10.68,$32.86
MAT,Mattel Inc.,0.171,4,$18.41,6.07,$18.08,$15.36,17.71,$24.38
SPOT,Spotify Technology S.A.,0.170,4,$133.62,8.16,$157.50,$69.29,127.31,$160.80
BLDR,Builders FirstSource Inc.,0.168,3,$88.78,12.79,$127.53,$51.37,148.26,$129.94
WRLD,World Acceptance Corp.,0.168,1,,12.91,$128.91,$58.44,120.59,$147.31
HAL,Halliburton Co.,0.166,2,$31.64,11.35,$30.87,$23.00,34.22,$43.01
TECK,Teck Resources,0.165,5,$36.50,4.94,$39.54,$24.47,61.59,$49.23
WEN,Wendy's Co.,0.164,2,$21.78,12.60,$21.42,$17.52,22.26,$23.37
LRCX,Lam Research,0.163,6,$530.13,4.80,$608.67,$295.77,105.79,$641.06
VST,Vistra Corp.,0.163,3,$24.00,7.65,$25.10,$20.43,22.86,$27.08
HHC,Howard Hughes Corp.,0.163,1,,12.52,$75.23,$50.90,47.80,$89.58
HCA,HCA Healthcare Inc.,0.162,5,$263.68,3.71,$295.46,$162.91,81.36,$296.98
SYK,Stryker Corp.,0.162,3,$283.31,6.77,$297.72,$187.11,59.11,$306.56
CHK,Chesapeake Energy,0.159,4,$76.04,8.95,$80.57,$68.66,17.35,$102.93
UHAL.B,U Haul Holding Co Non Voting,0.159,3,$51.85,6.01,$46.76,$43.59,7.27,$68.19
KHC,Kraft Heinz Co.,0.155,8,$38.67,3.87,$35.90,$32.06,11.98,$42.35
BDX,Becton Dickinson,0.155,7,$247.00,3.09,$256.44,$213.50,20.11,$265.74
HKHHF,Heineken Holding NV,0.155,3,$91.86,7.81,$86.20,$64.20,34.27,$97.41
WCC,WESCO International Inc.,0.154,5,$154.54,9.17,$167.94,$98.53,70.45,$174.81
RL,Ralph Lauren Corp.,0.154,1,,11.83,$119.63,$81.10,47.51,$128.11
GSK,GSK plc,0.153,4,$35.58,6.54,$36.40,$27.65,31.65,$52.77
WWE,World Wrestling Ent.,0.153,1,,11.79,$100.80,$59.43,69.61,$110.10
MKL,Markel Corp.,0.152,5,$1277.40,6.12,$1325.84,$1064.09,24.60,$1458.56
PRI,Primerica Inc.,0.149,2,$172.24,11.46,$188.93,$113.30,66.75,$196.66
GWRE,Guidewire Software Inc.,0.149,2,$82.05,11.40,$70.48,$52.08,35.33,$83.51
SLB,Schlumberger Ltd.,0.147,4,$49.10,5.25,$46.60,$30.24,54.10,$62.15
FIS,Fidelity National Information Services,0.146,7,$54.33,4.70,$52.77,$48.11,9.69,$102.05
NKE,NIKE Inc.,0.145,7,$121.61,4.51,$109.52,$81.47,34.43,$130.51
CI,Cigna Group,0.145,4,$255.52,5.97,$274.79,$239.37,14.80,$337.07
NVDA,NVIDIA Corp.,0.144,5,$277.77,4.58,$422.05,$108.06,290.57,$439.90
AON,Aon Plc,0.143,8,$313.10,3.40,$331.25,$260.47,27.17,$338.27
SSNC,SS&C Technologies Holdings Inc.,0.143,5,$56.47,3.53,$58.50,$44.60,31.17,$63.84
FNF,Fidelity National Financial Inc.,0.143,4,$34.93,9.82,$33.71,$31.43,7.25,$44.32
CSCO,Cisco Systems,0.142,8,$52.27,4.00,$50.31,$37.73,33.34,$52.41
OMF,OneMain Holdings,0.142,3,$37.08,6.07,$41.67,$26.67,56.24,$44.70
BP,BP plc,0.140,4,$37.94,10.70,$34.80,$24.02,44.88,$40.80
LSXMK,Liberty SiriusXM Series C,0.138,4,$27.99,7.43,$29.71,$25.02,18.75,$45.20
CVI,CVR Energy Inc.,0.138,1,,10.60,$27.28,$22.60,20.71,$39.86
CVX,Chevron Corp.,0.137,6,$163.14,6.65,$151.40,$127.94,18.34,$184.77
LH,Laboratory Corp. of America Hldgs,0.137,5,$233.06,3.69,$234.75,$198.49,18.27,$260.00
BWA,BorgWarner Inc.,0.137,2,$49.11,6.88,$45.21,$30.80,46.79,$50.95
TDW,Tidewater Inc.,0.136,1,,10.50,$46.70,$17.51,166.70,$51.88
NSIT,Insight Enterprises Inc.,0.136,1,,10.50,$142.29,$81.11,75.43,$147.15
PG,Procter & Gamble,0.133,8,$148.30,3.94,$148.44,$119.81,23.90,$158.11
EVH,Evolent Health Inc.,0.133,2,$32.45,10.22,$28.04,$21.83,28.45,$39.78
HI,Hillenbrand Inc.,0.133,2,$47.53,8.90,$49.31,$35.52,38.82,$53.53
KO,Coca Cola Co.,0.132,8,$62.03,7.63,$61.21,$52.82,15.88,$64.50
SGU,Star Gas Partners LP,0.131,1,,10.08,$13.66,$7.67,78.10,$15.22
ORLY,O'Reilly Automotive,0.130,3,$848.99,8.84,$924.88,$624.85,48.02,$964.58
ZBH,Zimmer Biomet Holdings,0.128,7,$129.21,2.96,$143.97,$99.79,44.27,$149.25
CNHI,CNH Industrial NV,0.128,5,$15.29,3.91,$13.74,$10.31,33.27,$17.48
NOW,ServiceNow Inc.,0.128,3,$464.72,5.41,$543.13,$337.00,61.17,$576.68
VSAT,Viasat Inc.,0.128,1,,9.86,$38.75,$25.38,52.68,$47.35
HD,Home Depot,0.127,6,$292.83,3.45,$300.76,$260.24,15.57,$342.29
BRCC,BRC Inc.,0.127,1,,9.77,$5.38,$4.79,12.32,$11.07
ROP,Roper Technologies Inc.,0.126,3,$440.69,6.43,$460.71,$355.10,29.74,$465.45
MSI,Motorola Solutions Inc.,0.126,2,$286.13,7.65,$278.68,$201.90,38.03,$298.49
APA,APA Corp.,0.124,4,$36.06,5.54,$32.56,$29.61,9.96,$49.98
DE,Deere & Co.,0.124,4,$412.88,4.44,$404.39,$281.21,43.80,$445.75
EFX,Equifax Inc.,0.123,7,$202.03,3.22,$223.93,$145.42,53.99,$234.76
VRSN,Verisign Inc.,0.122,5,$211.33,4.98,$221.32,$162.85,35.90,$229.72
BHC,Bausch Health,0.122,2,$8.10,8.08,$7.19,$4.00,79.75,$10.23
EBAY,eBay Inc.,0.120,5,$44.37,5.72,$43.36,$35.13,23.43,$51.34
ADP,Automatic Data Processing Inc.,0.120,4,$221.42,5.32,$213.74,$199.14,7.33,$270.22
INTC,Intel Corp.,0.119,6,$32.67,2.84,$32.99,$23.78,38.73,$38.99
QRVO,Qorvo Inc.,0.119,3,$101.57,8.44,$97.31,$75.38,29.09,$114.59
HTZWW,Hertz Global Hldgs Inc. WTS,0.119,1,,9.19,,,,
CFRHF,Compagnie Financiere Richemont SA,0.119,1,,9.15,$163.92,$94.03,74.33,$174.00
TEL,TE Connectivity,0.118,5,$131.15,4.31,$133.16,$103.35,28.84,$136.20
SIG,Signet Jewelers Ltd.,0.118,2,$77.78,9.09,$62.34,$50.22,24.13,$83.17
IFF,International Flavors & Fragrances Inc.,0.116,7,$91.96,3.84,$75.26,$75.20,0.08,$124.60
SBUX,Starbucks Corp.,0.116,7,$102.94,3.81,$98.31,$72.50,35.60,$114.34
SNOW,Snowflake Inc.,0.116,5,$154.29,5.07,$178.15,$119.27,49.37,$205.66
CSGP,CoStar Group Inc.,0.116,3,$68.85,4.63,$86.73,$57.54,50.73,$88.09
ECL,Ecolab Inc.,0.115,5,$165.51,3.52,$178.07,$129.73,37.26,$183.20
MBI,MBIA Inc.,0.115,2,$9.26,6.31,$8.48,$7.33,15.69,$14.00
MDT,Medtronic plc,0.114,7,$80.62,2.88,$87.50,$73.88,18.44,$92.48
ROKU,Roku Inc.,0.113,2,$65.82,8.68,$62.55,$38.26,63.49,$101.42
STKL,SunOpta Inc.,0.113,2,$7.70,6.48,$6.97,$6.33,10.11,$11.67
CEIX,CONSOL Energy Inc.,0.112,2,$58.27,8.60,$65.49,$36.83,77.82,$75.57
NEM,Newmont Corp.,0.112,2,$49.02,6.26,$41.59,$36.30,14.57,$61.60
NTRS,Northern Trust Corp.,0.111,3,$88.13,4.09,$71.28,$68.17,4.56,$100.03
NYT,New York Times CL A,0.111,2,$38.88,8.49,$37.60,$27.39,37.28,$42.28
LIN,Linde plc,0.110,6,$354.64,5.11,$370.57,$322.94,14.75,$378.50
AIG,American International Group,0.110,4,$50.36,3.76,$55.22,$45.37,21.71,$64.03
DG,Dollar General,0.110,3,$210.46,4.45,$171.12,$151.27,13.12,$260.29
LEA,Lear Corp.,0.110,2,$139.49,4.72,$136.33,$112.75,20.91,$154.93
HCC,Warrior Met Coal Inc.,0.110,2,$36.71,8.43,$36.71,$24.72,48.50,$42.86
MMC,Marsh & McLennan,0.109,7,$165.81,3.76,$183.74,$144.72,26.96,$184.34
CVS,CVS Health Corp.,0.108,8,$74.31,3.21,$69.62,$66.34,4.94,$105.02
AVGO,Broadcom Inc.,0.108,4,$641.54,5.15,$819.95,$404.37,102.77,$912.03
LAZ,Lazard Ltd.,0.108,4,$33.11,3.10,$30.61,$27.71,10.47,$42.14
BOKF,BOK Financial Corp.,0.108,2,$84.41,5.50,$81.19,$68.11,19.20,$108.14
AGO,Assured Guaranty Ltd.,0.108,1,,8.28,$53.39,$44.97,18.72,$66.45
CNQ,Canadian Natural Resources,0.108,1,,8.33,$53.31,$41.51,28.43,$61.59
GEHC,GE HealthCare Technologies Inc.,0.107,5,$82.03,3.10,$79.77,$53.46,49.21,$87.76
QCOM,QUALCOMM Inc.,0.106,4,$127.58,3.66,$113.39,$99.29,14.20,$151.74
EL,Estee Lauder Cos.,0.106,4,$246.46,5.77,$191.88,$175.05,9.61,$282.85
OLN,Olin Corp.,0.106,3,$55.50,7.54,$48.26,$40.90,18.00,$64.24
PARA,Paramount Global CL B,0.105,4,$22.31,5.64,$15.36,$13.72,11.95,$26.38
ADSK,Autodesk Inc.,0.105,3,$208.16,4.32,$201.97,$166.94,20.98,$235.01
VRTV,Veritiv Corp.,0.104,1,,8.03,$121.91,$93.02,31.06,$160.08
CPRT,Copart Inc.,0.103,6,$75.20,4.81,$89.17,$52.29,70.53,$89.88
CTSH,Cognizant Technology Solutions,0.102,4,$60.92,3.57,$62.04,$50.41,23.07,$69.91
BHF,Brighthouse Financial Inc.,0.102,2,$44.11,7.49,$44.11,$38.38,14.93,$60.54
CDW,CDW Corp.,0.101,2,$194.88,5.81,$177.42,$146.00,21.52,$212.89
EOG,EOG Resources,0.100,5,$114.63,3.80,$106.82,$87.46,22.14,$145.81
FIVE,Five Below Inc.,0.099,3,$205.97,7.47,$198.45,$109.49,81.25,$220.19
WRK,WestRock Co.,0.099,3,$30.47,6.00,$27.24,$26.57,2.52,$42.25
LMT,Lockheed Martin Corp.,0.098,4,$472.72,5.21,$459.21,$364.15,26.10,$504.70
DD,DuPont de Nemours Inc.,0.098,4,$71.77,4.70,$67.73,$49.04,38.11,$78.01
MHK,Mohawk Industries,0.098,3,$112.78,3.57,$97.81,$87.02,12.40,$137.41
SBLK,Star Bulk Carriers Corp.,0.098,1,,7.55,$18.03,$14.91,20.93,$24.11
NXPI,NXP Semiconductors NV,0.097,3,$186.48,3.85,$188.70,$129.28,45.96,$199.55
FWONK,Liberty Media Corp Formula One Series C,0.097,3,$74.83,7.15,$75.53,$50.00,51.06,$80.13
CNSWF,Constellation Software Inc.,0.097,2,$1879.78,6.50,$2007.00,$1280.00,56.80,$2138.00
AME,Ametek Inc.,0.096,1,,7.37,$156.03,$106.26,46.84,$158.61
LPLA,LPL Financial Holdings Inc.,0.095,4,$202.40,3.48,$208.21,$168.58,23.51,$270.10
IDXX,IDEXX Laboratories,0.095,2,$500.08,6.37,$487.56,$317.06,53.78,$515.79
AMD,Advanced Micro Devices,0.094,3,$98.01,3.10,$109.99,$54.57,101.56,$132.83
SNA,Snap-On Inc.,0.093,2,$246.87,5.95,$273.74,$187.32,46.13,$275.68
XOM,Exxon Mobil Corp.,0.092,6,$107.54,3.91,$102.40,$77.99,31.30,$118.89
NOV,Nov Inc.,0.092,4,$18.51,2.49,$15.21,$13.82,10.06,$24.68
ALC,Alcon Inc.,0.092,1,,7.10,$80.50,$55.03,46.28,$82.08
MANU,Manchester United plc,0.091,2,$22.15,4.28,$22.58,$10.41,116.91,$27.34
MSGS,Madison Square Garden Sports Corp.,0.090,4,$194.83,3.77,$179.32,$130.49,37.42,$209.82
CB,Chubb Limited,0.090,3,$194.18,3.17,$193.18,$171.56,12.60,$229.30
ZM,Zoom Video Communications Inc.,0.090,2,$73.84,6.90,$66.59,$60.45,10.16,$124.05
KD,Kyndryl Holdings Inc,0.089,1,,6.82,$12.83,$7.93,61.79,$17.21
PTEN,Patterson-UTI Energy Inc.,0.089,1,,6.83,$11.41,$9.70,17.63,$19.30
PDRDF,Pernod Ricard,0.089,1,,6.88,$214.75,$164.11,30.86,$238.75
SHOP,Shopify Inc.,0.088,5,$47.94,6.56,$63.78,$23.63,169.91,$67.36
LFUS,Littelfuse Inc.,0.088,4,$268.09,2.95,$270.23,$190.40,41.93,$280.64
MGM,MGM Resorts International,0.088,3,$44.42,6.69,$41.39,$27.44,50.84,$46.37
MSGE,Madison Square Garden Entertainment Corp.,0.088,2,$59.07,3.44,$32.40,$28.09,15.34,$40.81
SAFRY,Safran SA,0.088,2,$148.21,4.31,$38.23,$21.63,76.75,$39.42
TSCO,Tractor Supply,0.088,2,$235.03,6.78,$218.69,$178.10,22.79,$248.76
UMGNF,Universal Music Grp NV,0.088,1,,6.80,$21.20,$16.35,29.66,$25.95
