symbol,stock,percentage,ownership_count,hold_price,max_percentage,current_price,_52_week_low,percentage_above_52_week_low,_52_week_high
URI,United Rentals,0.087,5,$395.72,5.40,$404.38,$233.60,73.11,$479.90
EW,Edwards Lifesciences Corp.,0.087,4,$82.73,4.63,$90.33,$67.13,34.56,$107.92
LEN.B,Lennar Corp. CL B,0.087,3,$89.31,4.17,$109.28,$55.70,96.19,$109.50
SEB,Seaboard Corp.,0.087,2,$3770.01,5.19,$3649.98,$3285.49,11.09,$4230.71
GILD,Gilead Sciences,0.086,3,$82.97,3.87,$77.48,$56.48,37.18,$86.77
REZI,Resideo Technologies Inc.,0.086,3,$18.28,3.88,$17.21,$14.95,15.12,$23.94
GPI,Group 1 Automotive,0.085,1,,6.54,$246.13,$135.35,81.85,$248.50
MNDY,monday.com Ltd.,0.085,1,,6.51,$169.44,$73.58,130.28,$187.00
K,Kellogg Co.,0.083,4,$66.96,3.63,$65.17,$63.17,3.17,$75.20
THC,Tenet Healthcare Corp.,0.083,4,$59.42,4.61,$78.21,$36.69,113.16,$85.40
PGR,Progressive Corp.,0.082,5,$119.31,4.15,$132.76,$109.17,21.61,$149.87
IT,Gartner Inc.,0.082,3,$325.77,3.95,$338.27,$231.05,46.41,$363.12
RJF,Raymond James Financial Inc.,0.082,2,$93.27,6.28,$97.19,$82.00,18.52,$124.94
FBIN,Fortune Brands Innovations Inc.,0.082,2,$58.73,3.18,$67.58,$49.14,37.53,$69.96
OTIS,Otis Worldwide Corp.,0.081,5,$84.40,3.47,$86.38,$61.79,39.80,$89.30
CNXC,Concentrix Corp.,0.081,3,$121.55,3.03,$81.54,$80.44,1.37,$150.95
TTE,TotalEnergies SE,0.081,2,$59.06,3.41,$56.65,$42.22,34.18,$64.13
SBSW,Sibanye Stillwater Ltd ADR,0.081,1,,6.22,$6.39,$6.33,0.95,$12.05
EWBC,East West Bancorp,0.081,1,,6.25,$49.39,$33.22,48.68,$78.98
HDB,HDFC Bank Ltd.,0.080,4,$66.67,2.60,$68.67,$52.55,30.68,$71.02
ZTS,Zoetis Inc.,0.080,4,$162.09,2.43,$168.36,$123.59,36.22,$187.82
LILAK,Liberty LiLAC Group C,0.080,2,$8.26,6.18,$8.08,$5.88,37.41,$9.98
DKS,Dick's Sporting Goods Inc.,0.080,2,$141.89,6.00,$134.57,$72.01,86.88,$150.45
KEYS,Keysight Technologies Inc.,0.080,2,$161.48,4.33,$157.91,$133.34,18.43,$189.45
CNX,CNX Resources Corp.,0.080,1,,6.17,$16.70,$14.36,16.30,$19.76
ASML,ASML Holding NV,0.079,4,$680.72,3.00,$698.16,$359.17,94.38,$747.13
HEI.A,HEICO Corp. CL A,0.078,2,$135.90,5.38,$139.31,$102.71,35.63,$143.43
RLI,RLI Corp.,0.078,2,$132.91,3.97,$131.35,$100.56,30.62,$149.65
JLL,Jones Lang Lasalle Inc.,0.077,4,$145.49,2.46,$146.04,$123.00,18.73,$191.79
DEO,Diageo ADR,0.077,3,$181.18,3.11,$169.36,$158.67,6.74,$190.23
TTC,Toro Co.,0.076,3,$111.15,3.80,$97.40,$73.95,31.71,$117.28
GOLD,Barrick Gold Corp.,0.076,2,$18.57,3.79,$16.46,$12.89,27.70,$20.75
LULU,Lululemon Athletica Inc.,0.075,2,$364.19,3.25,$374.42,$258.79,44.68,$389.06
ERFSF,Eurofins Scientific SE,0.075,1,,5.78,$64.00,$54.75,16.89,$83.53
LBTYA,Liberty Global Inc.,0.074,4,$19.50,2.63,$16.59,$15.22,9.00,$22.82
BF.A,Brown-Forman Corp. CL A,0.074,3,$65.19,3.33,$66.43,$61.27,8.42,$75.70
WFRD,Weatherford International plc,0.074,3,$59.35,2.36,$62.65,$16.96,269.40,$70.18
M,Macy's Inc.,0.074,1,,5.67,$15.00,$12.67,18.39,$24.65
OVV,Ovintiv Inc.,0.049,2,$36.08,2.99,$34.95,$31.82,9.84,$57.96
ALLE,Allegion Plc,0.049,2,$106.73,3.75,$115.52,$86.30,33.86,$122.47
EDU,New Oriental Education & Technology,0.049,1,,3.74,$36.58,$17.01,115.05,$46.74
CDLX,Cardlytics Inc.,0.049,1,,3.77,$5.75,$2.57,123.74,$27.58
QUOT,Quotient Technology Inc.,0.049,1,,3.78,$3.89,$1.68,131.55,$4.25
SNY,Sanofi Aventis,0.048,3,$54.42,3.65,$53.33,$36.91,44.49,$57.82
DINO,HF Sinclair Corp.,0.048,2,$48.38,3.71,$42.51,$36.69,15.86,$64.88
WY,Weyerhaeuser Co.,0.048,2,$30.15,2.50,$30.41,$26.16,16.25,$35.54
SFBS,ServisFirst Bancshares Inc.,0.048,1,,3.73,$40.68,$39.66,2.57,$92.70
MLM,Martin Marietta,0.048,1,$346.68,3.69,$442.11,$282.93,56.26,$443.26
APG,APi Group Corp.,0.047,1,,3.61,$25.44,$13.09,94.35,$25.97
CHD,Church & Dwight,0.046,4,$88.39,3.22,$97.09,$69.49,39.72,$98.05
AVTR,Avantor arinc.,0.046,3,$21.14,3.09,$19.66,$17.91,9.77,$32.77
ILMN,Illumina Inc.,0.046,3,$232.55,3.12,$201.80,$173.45,16.34,$248.87
TSN,Tyson Foods,0.046,3,$59.32,1.76,$49.50,$46.68,6.04,$86.10
IP,International Paper,0.046,2,$36.06,3.56,$30.59,$29.01,5.45,$43.43
ORI,Old Republic International,0.046,2,$24.97,3.56,$24.21,$19.70,22.89,$26.20
UGI,UGI Corp.,0.046,2,$34.76,2.84,$26.45,$26.44,0.04,$42.19
OXY.WS,Occidental Petroleum WTS,0.046,2,$41.00,3.07,,,,
CMA,Comerica Inc.,0.046,1,,3.56,$40.60,$27.94,45.31,$82.62
BUR,Burford Capital Ltd,0.046,1,,3.55,$12.36,$6.06,103.96,$13.97
CACI,CACI International Inc.,0.046,1,,3.53,$328.50,$245.32,33.91,$334.17
ODFL,Old Dominion Freight Line,0.045,3,$340.84,3.20,$326.45,$238.86,36.67,$380.39
UBS,UBS AG,0.045,3,$21.34,1.57,$19.76,$0.91,2071.43,$22.15
OGN,Organon & Co.,0.045,3,$23.52,2.94,$20.24,$18.87,7.26,$34.12
ARW,Arrow Electronics,0.045,2,$124.87,2.19,$135.07,$89.38,51.12,$140.32
GPN,Global Payments Inc.,0.045,2,$105.24,3.43,$98.85,$91.81,7.67,$135.59
CWH,Camping World Holdings Inc.,0.045,2,$20.87,3.37,$27.62,$18.29,51.01,$30.90
VICI,VICI Properties Inc.,0.045,2,$32.62,3.43,$30.62,$27.79,10.18,$34.21
CTRA,Coterra Energy Inc.,0.045,2,$24.54,3.44,$23.74,$22.08,7.52,$31.14
RWAY,Runway Growth Finance Corp,0.045,1,,3.50,$11.73,$9.45,24.13,$12.87
VLO,Valero Energy,0.045,1,,3.50,$111.29,$93.86,18.57,$157.54
HRL,Hormel Foods Corp.,0.044,4,$39.88,2.61,$40.46,$37.52,7.84,$50.74
ENTG,Entegris Inc.,0.044,3,$82.01,1.94,$103.51,$61.51,68.28,$114.47
DAR,Darling Ingredients Inc.,0.044,3,$58.40,2.14,$58.83,$51.77,13.64,$82.69
GOOS,Canada Goose Holdings Inc.,0.044,2,$19.25,2.79,$15.86,$14.51,9.30,$24.73
MS,Morgan Stanley,0.044,2,$87.80,3.34,$83.58,$69.52,20.22,$100.12
MTZ,MasTec Inc.,0.044,1,,3.42,$110.58,$62.36,77.33,$113.97
CTLT,Catalent Inc.,0.043,4,$65.71,1.78,$44.03,$31.45,40.00,$115.34
POOL,Pool Corp.,0.043,3,$342.39,2.59,$352.55,$274.62,28.38,$420.03
TMUS,T-Mobile US Inc.,0.043,3,$144.84,1.89,$132.80,$124.92,6.31,$154.38
UPWK,Upwork Inc.,0.043,2,$11.32,3.33,$8.94,$6.56,36.28,$25.05
IPG,Interpublic Group,0.043,1,,3.31,$38.42,$24.71,55.48,$40.95
ASHTF,Ashtead Group plc,0.043,1,,3.29,$67.49,$40.41,67.01,$70.65
NJR,New Jersey Resources,0.043,1,,3.34,$45.98,$37.19,23.64,$55.39
PNC,PNC Financial Services,0.042,3,$127.10,2.88,$122.99,$110.31,11.49,$170.93
LIVN,LivaNova PLC,0.042,2,$43.58,2.45,$48.59,$40.26,20.69,$66.73
MSM,MSC Industrial Direct,0.042,2,$84.00,2.95,$96.14,$68.95,39.43,$98.37
SWBI,Smith & Wesson Brands,0.042,1,,3.24,$13.52,$8.13,66.30,$16.11
IMO,Imperial Oil Ltd.,0.042,1,,3.23,$48.05,$38.94,23.39,$57.80
WMG,Warner Music Group Corp. CL A,0.042,1,,3.20,$26.06,$21.08,23.62,$38.09
SYY,Sysco Corp.,0.041,3,$77.23,1.36,$72.45,$69.22,4.67,$87.15
APH,Amphenol Corp.,0.041,2,$80.99,2.19,$80.19,$61.12,31.20,$82.64
GEO,GEO Group Inc.,0.041,2,$7.89,2.95,$7.04,$6.08,15.79,$12.44
PTC,PTC Inc.,0.041,2,$128.23,3.18,$140.82,$97.97,43.74,$144.56
KRTX,Karuna Therapeutics Inc.,0.041,2,$181.64,1.87,$227.40,$112.74,101.70,$278.25
BKR,Baker Hughes Co.,0.041,2,$28.86,2.41,$29.78,$19.88,49.80,$32.67
CSX,CSX Corp.,0.041,2,$29.94,3.11,$32.74,$25.63,27.74,$34.37
RS,Reliance Steel & Aluminum,0.041,1,,3.18,$258.25,$159.77,61.64,$262.28
CPRI,Capri Holdings Ltd,0.041,1,,3.18,$35.82,$34.25,4.58,$69.25
KMT,Kennametal Inc.,0.041,1,,3.18,$27.35,$19.75,38.48,$30.16
VRSK,Verisk Analytics Inc.,0.040,6,$191.44,1.41,$224.33,$161.85,38.60,$228.43
CRL,Charles River Labs,0.040,4,$201.77,2.69,$207.72,$181.22,14.62,$262.00
HOLX,Hologic Inc.,0.040,3,$80.70,2.02,$81.42,$59.78,36.20,$87.88
DECK,Deckers Outdoor,0.040,3,$449.53,2.88,$506.26,$238.43,112.33,$518.49
T,AT&T Inc.,0.040,3,$19.25,2.83,$15.44,$14.06,9.82,$22.52
NWSA,News Corp.,0.040,3,$17.27,2.89,$18.77,$14.77,27.08,$21.55
AFL,AFLAC Inc.,0.040,2,$64.52,3.04,$67.14,$51.75,29.74,$73.11
CHRW,C.H. Robinson Worldwide,0.040,2,$99.37,2.60,$90.40,$84.44,7.06,$117.64
ROIV,Roivant Sciences Ltd,0.040,1,,3.07,$9.81,$2.87,241.81,$10.83
IMXI,International Money Express Inc.,0.040,1,,3.09,$24.51,$19.27,27.19,$28.24
NVS,Novartis AG,0.039,3,$91.98,1.56,$100.70,$71.00,41.83,$105.56
KOF,Coca-Cola FEMSA S A CV,0.039,3,$80.47,1.50,$86.83,$49.86,74.15,$91.23
LHX,L3Harris Technologies Inc.,0.039,3,$196.23,1.27,$191.88,$173.42,10.64,$250.78
MAR,Marriott Int'l.,0.039,3,$166.04,1.60,$171.44,$131.37,30.50,$183.33
PRGO,Perrigo Co.,0.039,2,$35.87,2.88,$33.51,$30.29,10.63,$42.56
VSH,Vishay Intertechnology,0.039,2,$22.62,2.58,$27.76,$16.42,69.06,$28.10
FOX,Fox Corporation CL B,0.039,2,$31.31,2.70,$30.64,$26.15,17.17,$34.16
SPG,Simon Property Group Inc.,0.039,2,$111.98,2.91,$107.69,$82.10,31.17,$128.97
NCLH,Norwegian Cruise Line Hlgs Ltd.,0.039,1,,2.98,$19.40,$10.47,85.29,$19.77
SWX,Southwest Gas Holdings Inc.,0.039,1,,2.98,$60.88,$53.20,14.44,$86.62
CARS,Cars.com Inc.,0.038,2,$19.30,2.92,$18.58,$9.06,105.08,$20.42
HON,Honeywell Int'l Inc.,0.038,2,$191.12,2.00,$200.06,$162.31,23.26,$217.51
IBP,Installed Building Products,0.038,2,$114.03,2.91,$132.76,$74.01,79.38,$134.18
GBLBF,Groupe Bruxelles Lambert S.A.,0.038,1,,2.90,$76.88,$67.35,14.15,$91.00
AEL,American Equity Inv. Life Hldg Co,0.038,1,,2.91,$40.68,$28.05,45.03,$48.37
BKI,Black Knight Inc.,0.038,1,,2.89,$56.98,$53.15,7.21,$68.78
FRPT,Freshpet Inc.,0.038,1,,2.89,$61.88,$36.02,71.79,$73.48
NU,Nu Holdings Ltd,0.037,3,$4.76,1.57,$7.56,$3.39,123.01,$7.76
GPK,Graphic Packaging Hldg Co.,0.037,2,$25.49,1.48,$23.61,$19.22,22.84,$27.45
COP,ConocoPhillips,0.037,2,$99.05,1.76,$100.45,$74.93,34.06,$134.96
HMN,Horace Mann Educators,0.037,1,,2.88,$29.06,$28.90,0.55,$38.98
DLTR,Dollar Tree Inc.,0.036,3,$143.56,2.74,$143.69,$128.85,11.52,$175.68
VZ,Verizon Communications,0.036,3,$38.89,2.53,$35.50,$32.26,10.04,$49.05
FMX,Fomento Economico Mexicano,0.036,2,$95.19,2.78,$108.09,$57.43,88.21,$111.74
RPRX,Royalty Pharma plc,0.036,2,$36.03,1.90,$30.93,$30.68,0.81,$43.70
UAL,United Airlines Holdings Inc.,0.036,2,$44.25,2.74,$52.65,$31.58,66.72,$55.04
BC,Brunswick Corp.,0.036,2,$82.00,2.77,$80.72,$62.20,29.77,$92.25
CME,CME Group,0.036,2,$191.52,2.77,$181.64,$158.43,14.65,$200.71
HTZ,Hertz Global Hldgs Inc.,0.036,2,$16.29,1.69,$17.46,$14.49,20.50,$22.46
TPL,Texas Pacific Land Corp.,0.027,1,,2.05,$1281.36,$1266.21,1.20,$2724.35
TJX,TJX Companies Inc.,0.026,4,$76.76,1.78,$82.06,$53.64,52.98,$82.47
GNTX,Gentex Corp.,0.026,3,$28.02,1.96,$27.56,$23.08,19.41,$30.27
FOXA,Fox Corporation,0.026,3,$34.05,1.07,$32.68,$27.82,17.47,$37.00
FTCH,Farfetch Ltd,0.026,3,$4.91,1.86,$5.35,$3.64,46.98,$12.89
GPOR,Gulfport Energy Corp.,0.026,2,$80.00,1.23,$97.24,$60.15,61.66,$109.94
PB,Prosperity Bancshares Inc.,0.026,2,$61.52,1.07,$55.47,$55.12,0.63,$77.35
FSNUF,Fresenius SE & Co KGaA,0.026,1,,1.99,$27.20,$19.50,39.49,$31.20
SCHL,Scholastic Corp.,0.026,1,,1.98,$37.14,$27.78,33.69,$47.54
NWLI,National Western Life Group Inc.,0.026,1,,2.00,$370.67,$166.64,122.44,$427.96
TBPH,Theravance Biopharma Inc.,0.026,1,,2.02,$10.71,$7.53,42.23,$12.03
BR,Broadridge Financial Solutions,0.026,1,,2.02,$157.81,$129.41,21.95,$179.84
SZCRF,SCOR SE,0.026,1,,1.98,$26.25,$13.80,90.22,$27.20
JWN,Nordstrom,0.026,1,,2.03,$18.17,$13.85,31.19,$26.54
MTN,Vail Resorts Inc.,0.025,3,$233.68,1.48,$243.73,$196.66,23.93,$264.86
ADT,ADT Inc.,0.025,3,$7.23,0.95,$5.88,$4.86,20.99,$9.96
AMH,American Homes 4 Rent,0.025,3,$31.45,1.91,$33.72,$28.60,17.90,$38.01
TRV,Travelers Companies Inc.,0.025,3,$171.41,0.88,$173.74,$147.28,17.97,$192.39
AWI,Armstrong World Industries Inc.,0.025,3,$71.24,1.09,$70.47,$62.03,13.61,$93.96
HBAN,Huntington Bancshares,0.025,1,,1.94,$10.22,$8.87,15.22,$14.96
FANG,Diamondback Energy Inc.,0.025,1,,1.93,$125.40,$100.39,24.91,$166.42
TBABF,Trelleborg AB,0.025,1,,1.89,$25.98,$19.32,34.47,$25.98
BEN,Franklin Resources,0.025,1,,1.92,$25.53,$19.78,29.07,$33.98
FUL,H.B. Fuller Co.,0.025,1,,1.89,$63.12,$56.73,11.26,$80.95
IPGP,IPG Photonics Corp.,0.024,3,$123.31,1.42,$133.42,$79.88,67.03,$137.33
MELI,Mercadolibre Inc.,0.024,2,$1318.06,1.67,$1226.19,$611.46,100.53,$1365.64
SFM,Sprouts Farmers Market Inc.,0.024,2,$35.03,1.74,$34.50,$24.95,38.28,$39.99
MGA,Magna International Inc.,0.024,2,$53.58,1.10,$52.04,$44.48,17.00,$67.75
ST,Sensata Technologies Holding,0.024,2,$50.02,1.84,$43.12,$36.36,18.59,$54.07
SLV,iShares Silver Trust,0.024,2,$22.12,1.79,$20.58,$16.19,27.12,$23.94
MYRG,MYR Group Inc.,0.024,1,,1.88,$132.79,$76.97,72.52,$140.14
NPSNY,Naspers Ltd,0.024,1,,1.85,$33.25,$18.33,81.40,$41.50
AGR,Avangrid Inc.,0.024,1,,1.88,$37.19,$36.39,2.20,$49.56
VRTX,Vertex Pharmaceuticals,0.024,1,,1.83,$347.00,$271.61,27.76,$354.46
ZIMV,ZimVie Inc.,0.024,1,,1.87,$10.50,$5.05,107.92,$20.33
NOC,Northrop Grumman Corp.,0.024,1,,1.87,$454.16,$427.25,6.30,$551.86
CCK,Crown Holdings,0.023,4,$82.68,1.12,$85.73,$65.44,31.01,$101.81
AZPN,Aspen Technology Inc.,0.023,3,$228.86,1.52,$162.54,$161.40,0.71,$263.59
DCI,Donaldson Co.,0.023,3,$65.33,1.76,$60.67,$46.24,31.21,$66.67
TSLA,Tesla Inc.,0.023,3,$207.45,1.68,$256.54,$101.81,151.98,$314.67
AEP,American Electric Power,0.023,2,$90.79,1.75,$83.55,$77.41,7.93,$101.80
SOFI,SoFi Technologies Inc.,0.023,2,$6.07,1.79,$8.29,$4.24,95.52,$10.23
SGH,SMART Global Holdings,0.023,2,$17.24,1.79,$25.80,$12.04,114.29,$27.32
DDOG,DATADOG Inc.,0.023,1,,1.75,$93.63,$61.34,52.64,$120.75
RHHVF,Roche Holdings AG DIV RT,0.023,1,,1.76,$307.98,$270.07,14.04,$336.97
GFS,GlobalFoundries Inc.,0.023,1,,1.76,$57.68,$36.81,56.70,$72.50
IDT,IDT Corp. CL B,0.023,1,,1.80,$25.93,$23.07,12.40,$35.18
ROG,Rogers Corp.,0.023,1,,1.80,$157.21,$98.45,59.69,$271.12
TFC,Truist Financial Corp.,0.022,5,$34.10,1.09,$30.02,$25.08,19.70,$51.79
DIN,Dine Brands Global Inc.,0.022,3,$67.64,1.59,$57.57,$57.08,0.86,$81.11
LYB,LyondellBasell Industries,0.022,3,$93.89,1.11,$88.33,$69.60,26.91,$98.66
NTR,Nutrien Ltd.,0.022,2,$73.85,1.67,$58.80,$52.23,12.58,$100.75
XP,XP Inc.,0.022,2,$11.87,0.90,$23.45,$10.30,127.67,$25.30
CIVI,Civitas Resources Inc.,0.022,2,$68.34,1.70,$64.88,$41.47,56.45,$73.16
CFRUY,Compagnie Financiere Richemont Switz ADR,0.022,2,$159.50,1.66,$16.50,$9.27,77.99,$17.39
RE,Everest Re Group,0.022,2,$358.02,1.57,$345.73,$242.21,42.74,$393.18
ICLR,ICON plc,0.022,2,$213.59,0.88,$226.08,$171.43,31.88,$249.62
ALE,ALLETE Inc.,0.022,1,,1.71,$58.24,$46.22,26.01,$65.97
DJCO,Daily Journal Corp.,0.022,1,,1.69,$283.21,$236.01,20.00,$315.23
RNMBF,Rheinmetall AG,0.022,1,,1.70,$280.00,$141.65,97.67,$307.00
IONS,Ionis Pharmaceuticals Inc.,0.022,1,,1.66,$39.63,$32.69,21.23,$48.82
LEGN,Legend Biotech Corp.,0.022,1,,1.66,$74.30,$37.30,99.20,$75.45
EQNR,Equinor ASA,0.022,1,,1.66,$28.38,$25.23,12.49,$39.93
NATI,National Instruments,0.022,1,,1.72,$57.12,$28.94,97.37,$58.30
CBRL,Cracker Barrel Old Cntry Store,0.021,5,$113.61,0.93,$90.46,$77.77,16.32,$119.83
GLW,Corning Inc.,0.021,2,$35.28,1.16,$33.85,$28.51,18.73,$36.83
TCBI,Texas Capital Bancshares,0.021,2,$48.96,1.65,$48.95,$42.79,14.40,$69.27
HLN,Haleon Plc ADR,0.021,2,$8.14,1.62,$8.42,$5.55,51.71,$9.05
AAP,Advance Auto Parts,0.021,2,$121.61,1.63,$65.66,$63.56,3.30,$205.60
MDU,MDU Resources,0.021,2,$30.48,1.61,$19.93,$17.45,14.21,$22.18
FITB,Fifth Third Bancorp,0.021,2,$26.64,1.16,$25.55,$21.84,16.99,$37.59
HAS,Hasbro Inc.,0.021,2,$53.67,1.60,$60.01,$45.21,32.74,$82.82
THS,TreeHouse Foods,0.021,2,$50.43,1.58,$51.87,$39.51,31.28,$55.30
USFD,US Foods Holding Corp.,0.021,1,,1.63,$41.94,$25.49,64.54,$42.49
AMBA,Ambarella Inc.,0.021,1,,1.64,$78.36,$49.02,59.85,$99.86
DPZ,Dominos Pizza Inc.,0.021,1,,1.59,$316.83,$284.69,11.29,$420.42
AR,Antero Resources,0.021,1,,1.59,$21.25,$19.91,6.73,$45.33
ABM,ABM Industries,0.021,1,,1.58,$40.53,$37.13,9.16,$49.47
DENN,Denny's Corp.,0.020,4,$11.16,1.36,$11.77,$8.46,39.13,$13.13
MSCI,MSCI Inc.,0.020,3,$559.69,1.02,$465.23,$381.93,21.81,$569.45
NMIH,NMI Holdings,0.020,2,$22.33,1.50,$24.86,$16.14,54.03,$26.72
CRC,California Resources Corp.,0.020,2,$38.50,1.54,$42.48,$33.77,25.79,$50.25
FCX,Freeport-McMoran Inc.,0.020,1,,1.51,$38.37,$24.65,55.66,$46.64
LLY,Eli Lilly & Co.,0.020,1,,1.51,$458.77,$293.03,56.56,$462.26
LANC,Lancaster Colony,0.020,1,,1.56,$200.31,$124.09,61.42,$218.79
BAESF,BAE Systems plc,0.020,1,,1.57,$11.94,$8.51,40.31,$12.97
CFG,Citizens Financial Group Inc.,0.020,1,,1.52,$25.45,$23.37,8.90,$44.17
BAX,Baxter International Inc.,0.020,1,,1.57,$45.05,$37.08,21.49,$65.79
FPH,Five Point Holdings LLC,0.020,1,,1.51,$2.65,$1.88,40.96,$4.56
PINS,Pinterest Inc.,0.019,2,$27.27,1.47,$26.24,$16.77,56.47,$29.27
MTH,Meritage Homes Corp.,0.019,2,$116.76,1.47,$137.02,$65.10,110.48,$138.00
KLIC,Kulicke & Soffa Ind.,0.019,2,$52.69,1.49,$55.74,$35.43,57.32,$59.01
SWKS,Skyworks Solutions Inc.,0.019,2,$117.98,1.48,$101.98,$74.31,37.24,$121.49
MCHP,Microchip Technology,0.019,2,$83.74,1.42,$81.97,$53.11,54.34,$87.13
ICFI,ICF International Inc.,0.019,2,$109.70,1.20,$121.82,$89.04,36.81,$128.70
EQR,Equity Residential,0.019,2,$60.00,1.40,$62.32,$54.59,14.16,$78.37
SJM,J.M. Smucker Co,0.019,1,,1.48,$150.29,$121.26,23.94,$160.91
REGN,Regeneron Pharmaceuticals,0.019,1,,1.44,$779.85,$563.82,38.32,$837.55
HENKY,Henkel KGAA,0.019,1,,1.50,$17.45,$13.64,27.93,$19.07
ADM,Archer-Daniels-Midland,0.019,1,,1.48,$72.88,$68.61,6.22,$97.01
DGX,Quest Diagnostics,0.035,4,$141.29,1.42,$141.45,$119.16,18.71,$157.55
DBRG,DigitalBridge Group Inc.,0.035,3,$11.99,1.91,$12.44,$9.98,24.65,$23.38
IQV,IQVIA Holdings Inc.,0.035,3,$198.89,2.63,$214.20,$165.75,29.23,$249.11
EPAM,EPAM Systems Inc.,0.035,3,$299.00,2.67,$213.95,$197.99,8.06,$462.99
003550.KS,LG Corp.,0.035,2,$63.68,1.60,,,,
TRUP,Trupanion Inc.,0.035,2,$42.89,2.32,$22.59,$19.51,15.79,$82.49
TECH,Bio-Techne Corp.,0.035,2,$74.18,2.64,$76.70,$67.66,13.36,$98.76
HII,Huntington Ingalls Industries,0.035,1,,2.70,$216.93,$187.35,15.79,$255.59
INFN,Infinera Corp.,0.035,1,,2.68,$4.53,$4.26,6.34,$7.80
UNP,Union Pacific,0.034,7,$201.27,1.50,$199.92,$181.35,10.24,$237.92
MO,Altria Group Inc.,0.034,4,$44.75,2.48,$43.42,$37.69,15.20,$49.46
SQ,Block Inc.,0.034,3,$68.65,1.03,$62.81,$51.34,22.34,$93.19
JEF,Jefferies Financial Group Inc.,0.034,3,$31.74,2.62,$31.43,$25.60,22.77,$40.08
PXD,Pioneer Natural Resources,0.034,3,$204.24,2.56,$198.66,$175.47,13.22,$259.71
TTWO,Take-Two Interactive Software,0.034,2,$119.30,2.60,$141.87,$90.00,57.63,$141.96
ALEX,Alexander & Baldwin,0.034,2,$18.91,2.59,$17.71,$15.25,16.13,$20.02
BYD,Boyd Gaming Corp.,0.034,1,,2.62,$65.79,$45.61,44.24,$71.52
CMP,Compass Minerals International Inc.,0.034,1,,2.64,$33.46,$28.77,16.30,$47.29
VSCO,Victoria's Secret & Co.,0.034,1,,2.59,$16.97,$16.85,0.71,$48.16
WPM,Wheaton Precious Metals Corp.,0.034,1,,2.59,$42.61,$28.32,50.46,$52.60
BIIB,Biogen Inc.,0.034,1,,2.64,$284.53,$193.65,46.93,$319.76
FTV,Fortive Corp.,0.033,2,$68.17,2.04,$71.05,$52.24,36.01,$72.84
LUMN,Lumen Technologies Inc.,0.033,2,$2.65,2.53,$1.80,$1.74,3.45,$11.34
CLB,Core Laboratories NV,0.033,1,,2.57,$22.94,$13.17,74.18,$26.78
RYN,Rayonier Inc.,0.033,1,,2.54,$28.42,$27.55,3.16,$37.31
GLNCY,Glencore Plc,0.033,1,,2.53,$11.41,$9.31,22.56,$14.41
UHAL,U-Haul Holding Co.,0.032,5,$56.41,1.25,$53.12,$50.00,6.24,$591.66
QDEL,QuidelOrtho Corp.,0.032,3,$89.09,2.40,$84.37,$66.88,26.15,$108.35
ALGN,Align Technology Inc.,0.032,3,$334.13,1.43,$328.83,$172.05,91.12,$368.87
ZI,ZoomInfo Technologies Inc.,0.032,3,$24.71,1.68,$23.95,$20.33,17.81,$51.86
FRCB,First Republic Bank,0.032,3,$13.99,1.96,$0.26,$0.16,62.50,$0.49
ALK,Alaska Air Group,0.032,3,$41.96,2.44,$49.26,$37.20,32.42,$53.96
SRCL,Stericycle Inc.,0.032,2,$43.61,2.10,$43.78,$39.63,10.47,$56.12
